Package name,Package size,Package size in system (%)
skeleton-init-common,16146,0.0
unknown,5692182,6.7
lynx,1795250,2.1
iptables,1663419,1.9
skeleton-init-sysv,334,0.0
toolchain,230,0.0
ifupdown-scripts,2040,0.0
busybox,829657,1.0
urandom-scripts,1243,0.0
openssh,6448910,7.5
initscripts,831,0.0
fontconfig,506001,0.6
libopenssl,4620551,5.4
glibc,2164880,2.5
host-gcc-final,2055458,2.4
util-linux,26464,0.0
linux,366024,0.4
libxcb,931112,1.1
libglib2,3673638,4.3
ncurses,440173,0.5
boost,825384,1.0
lcms2,450376,0.5
libffi,34648,0.0
xlib_libX11,1263948,1.5
slang,1760312,2.1
libmnl,22304,0.0
graphicsmagick,2528782,3.0
json-glib,181944,0.2
expat,136912,0.2
tiff,466432,0.5
cairo,753928,0.9
jpeg-turbo,614328,0.7
libcurl,539512,0.6
libnftnl,193824,0.2
pixman,583480,0.7
xlib_libXdmcp,22144,0.0
bzip2,293453,0.3
libzlib,75552,0.1
pcre2,475912,0.6
freetype,628432,0.7
xlib_libXau,13952,0.0
xlib_libXext,72544,0.1
libpng,186064,0.2
xcb-proto,1062181,1.2
ghostscript-fonts,4726767,5.5
ghostscript,34979424,40.9
gnuplot,1155448,1.4
nano,141600,0.2
